id,area,feature,user_story,expected,source_refs,status,test_method,test_result,errors_found,fix_applied,retest_result
SHELL-19,App Shell,Sidebar nav routing,"As a user, I want sidebar clicks to open destinations so that I can navigate",NavItem.Selected overview/new_job/history/browse routes via open_top_level; active dest is no-op,app.py:179-207,Verified,code audit + pytest suite,PASS,,,PASS
SHELL-20,App Shell,Sidebar View Logs routing,"As a user, I want sidebar View Logs to open the selected job so that I jump to logs",view_logs uses selected job from Dashboard/History; warns to select a job first if none,"app.py:186-195,216-218,247-253",Verified,code audit + pytest suite,PASS,,,PASS
SHELL-21,App Shell,Navigation stack anchor,"As a user switching screens, I want Overview as base so that back nav is predictable",open_top_level pops stack to <=2 before pushing; 'overview' only pops,"app.py:199-207,229-231",Verified,code audit + pytest suite,PASS,,,PASS
OVW-01,Overview,Status strip counts,"As a supervisor, I want live job counts so that I see load at a glance","Strip shows RUNNING n/2, FINISHED 7D (green or dim 0), FAILED 7D (red or dim 0)",dashboard.py:254-270,Verified,code audit + pytest suite,PASS,,,PASS
OVW-02,Overview,Status strip Kerberos colors,"As a supervisor, I want Kerberos health in the strip so that I know if launches blocked","Kerberos red MISSING when None, yellow when <3600s, green when >=3600s; mirrors app reactive","dashboard.py:254-261,125-133",Verified,tests/test_qa_fixes.py::test_status_strip_kerberos_first,FAIL,KERBEROS sat rightmost and was clipped first on narrow terminals (ux),Status strip now leads with KERBEROS,PASS
OVW-03,Overview,Jobs table layout,"As a supervisor, I want a dense jobs table so that I can scan active work",Columns ID/Source/Destination/State/Elapsed; running first; running+finished-in-7d; cap 100 rows,"dashboard.py:114-116,238-244",Verified,code audit + pytest suite,PASS,,,PASS
OVW-04,Overview,Jobs empty state,"As a new user with no jobs, I want guidance so that I know how to start","When 0 rows, table hides and empty shows 'No jobs in the last 7 days - press N to launch one'","dashboard.py:101-102,340-342",Verified,code audit + manual GUI,FAIL,Zero-match filter showed 'no jobs in 7 days' copy and a stale detail pane (ux),Filter-aware empty copy; detail pane reconciled to visible rows,PASS
OVW-05,Overview,Auto job refresh,"As a supervisor, I want the overview current so that states/elapsed update",Refresh on mount and every 2s; failures notify 'Job refresh failed: {exc}',"dashboard.py:127-128,155-189",Verified,code audit + pytest suite,PASS,,,PASS
OVW-06,Overview,Default detail selection,"As a supervisor, I want a log preview without clicking so that I watch active job",First refresh with jobs auto-selects first Running else first job for the detail pane,dashboard.py:169-174,Verified,code audit + pytest suite,PASS,,,PASS
OVW-07,Overview,Detail pane responsive hide,"As a user on a short terminal, I want the table prioritized so that nav stays usable",When height<30 #detail-pane hidden; when >=30 shown,"dashboard.py:46-47,135-143",Verified,code audit + pytest suite,PASS,,,PASS
OVW-08,Overview,Detail pane placeholder,"As a user with no highlight, I want a clear prompt so that I know to select a row",Detail title 'Select a job to preview its log' and blank log when no match,dashboard.py:353-356,Verified,code audit + pytest suite,PASS,,,PASS
OVW-09,Overview,Detail pane log tail,"As a supervisor, I want a live log preview so that I spot failures fast",Title shows id/state/elapsed + 'V for full logs'; up to 8 tail lines of last 4096 bytes,"dashboard.py:44-45,357-369,191-216",Verified,code audit + pytest suite,PASS,,,PASS
OVW-10,Overview,Row highlight updates detail,"As a supervisor, I want moving the cursor to update preview so that I scan quickly","RowHighlighted caches key, sets detail job, async reads only the log tail (exclusive worker)",dashboard.py:500-528,Verified,code audit + pytest suite,PASS,,,PASS
OVW-11,Overview,Filter open,"As a supervisor with many jobs, I want to filter so that I find a specific job",Pressing / shows filter input with placeholder and focuses it,"dashboard.py:57-58,410-413",Verified,code audit + pytest suite,PASS,,,PASS
OVW-12,Overview,Filter matching,"As a supervisor, I want substring filtering so that partial matches work",Each keystroke filters cached jobs case-insensitively on id/source/dest/state; running-first kept,"dashboard.py:272-288,425-430",Verified,tests/test_qa_fixes.py::test_dashboard_filter_zero_match_clears_selection,FAIL,"With zero filter matches, View/Cancel still targeted an off-screen cached job (logistical)",Selection restricted to currently visible rows,PASS
OVW-13,Overview,Filter clear,"As a supervisor, I want to dismiss the filter so that I return to full list","Esc when filter visible clears value, hides input, refocuses table, re-renders","dashboard.py:58,415-423",Verified,code audit + pytest suite,PASS,,,PASS
OVW-14,Overview,Filter submit,"As a supervisor, I want Enter to leave the filter so that I use table keys again",Submitting filter input moves focus to table without hiding the filter,dashboard.py:432-434,Verified,code audit + pytest suite,PASS,,,PASS
OVW-15,Overview,Table movement j/k,"As a vim user, I want j/k to move selection so that I navigate without arrows",j/k move cursor only when the table has focus; bindings hidden from footer,"dashboard.py:59-60,438-446",Verified,code audit + pytest suite,PASS,,,PASS
OVW-16,Overview,New Job shortcut,"As a user, I want a fast path to launch so that I avoid the mouse",n or 'New Job [N]' button calls open_top_level('new_job'),"dashboard.py:52,108,467-468,486-488",Verified,code audit + pytest suite,PASS,,,PASS
OVW-17,Overview,View Logs shortcut,"As a supervisor, I want full logs for the selected job so that I diagnose issues",v or 'View Logs [V]' opens JobDetailScreen for selected; no selection is a silent no-op,"dashboard.py:53,109,470-473,489-490",Verified,tests/test_qa_fixes.py::test_dashboard_filter_zero_match_clears_selection,FAIL,View Logs with no selection was a silent no-op (ux),action_view_logs notifies 'Select a job first.',PASS
OVW-18,Overview,Cancel shortcut,"As a supervisor, I want to cancel the selected job so that I stop bad launches",c or 'Cancel [C]' opens JobDetailScreen with cancel_on_mount=True; no selection is silent no-op,"dashboard.py:54,110,475-478,491-492",Verified,"tests/test_qa_fixes.py::test_dashboard_cancel_no_selection_notifies, ::test_dashboard_cancel_non_running_notifies",FAIL,Cancel with no selection or on a finished job opened detail and silently no-op'd (logistical/ux),action_cancel notifies and only proceeds for a Running selection,PASS
OVW-19,Overview,History shortcut,"As a user, I want finished-job history so that I review older work",h opens History via open_top_level('history'),"dashboard.py:55,480-481",Verified,code audit + pytest suite,PASS,,,PASS
OVW-20,Overview,Browse shortcut,"As a user, I want metadata browse so that I inspect Impala without a job",b opens Browser via open_top_level('browse'),"dashboard.py:56,483-484",Verified,code audit + pytest suite,PASS,,,PASS
OVW-21,Overview,Row activate opens detail,"As a supervisor, I want Enter on a row to open logs so that I drill in quickly",RowSelected on non-empty row caches id and opens JobDetailScreen,dashboard.py:494-498,Verified,code audit + pytest suite,PASS,,,PASS
OVW-22,Overview,State transition notifications,"As a supervisor, I want alerts when jobs finish so that I do not miss completions",Running->terminal logs timestamped trail event and notifies 'Job {id} {state}',"dashboard.py:371-382,145-151",Verified,code audit,FAIL,"Failed-job completion toast used warning severity, not error (ux)",Failed transitions notify with error severity,PASS
OVW-23,Overview,Event trail startup,"As a supervisor, I want a recent activity hint so that I see the session started","On mount trail shows '[HH:MM] dispatch started'; keeps <=3, displays latest","dashboard.py:67,120,145-151",Verified,code audit + pytest suite,PASS,,,PASS
OVW-24,Overview,Initial focus,"As a user, I want keyboard control immediately so that I navigate without clicking",On mount jobs table is focused; filter and empty state start hidden,"dashboard.py:118-119,129",Verified,code audit + pytest suite,PASS,,,PASS
SIDE-01,Sidebar,Navigation items,"As a user, I want labeled nav destinations so that I reach all major screens",Items Overview/New Job/View Logs/History/Browse post NavItem.Selected with matching id,"sidebar.py:69-75,41-42",Verified,code audit + pytest suite,PASS,,,PASS
SIDE-02,Sidebar,Active item highlight,"As a user, I want to see where I am so that nav context is clear","Item with item_id==active_screen gets nav-active (bold, primary bg, left border)","sidebar.py:44-45,132-134",Verified,code audit + pytest suite,PASS,,,PASS
SIDE-03,Sidebar,Kerberos chip display,"As a user, I want Kerberos TTL in the sidebar so that I glance at health","Chip mirrors app kerberos_ttl; 'KRB {ttl}' with krb-missing (None), krb-low (<3600s), else success","sidebar.py:48-65,99-103",Verified,code audit + pytest suite,PASS,,,PASS
SIDE-04,Sidebar,Collapsed Kerberos icon,"As a user with collapsed sidebar, I want a compact indicator so that space is preserved",Collapsed chip shows warn glyph if TTL None else check glyph,sidebar.py:56-58,Verified,code audit + pytest suite,PASS,,,PASS
SIDE-05,Sidebar,Auto-collapse narrow,"As a user on a narrow terminal, I want auto-shrink so that content fits","On resize, width<100 sets collapsed True; width>=100 sets collapsed False",sidebar.py:105-116,Verified,tests/test_qa_fixes.py::test_sidebar_manual_collapse_survives_resize,FAIL,Auto-collapse overrode the user's explicit choice (ux),Resize sync respects the manual override,PASS
SIDE-06,Sidebar,Collapsed presentation,"As a user, I want icon-only sidebar so that labels do not wrap","Collapsed: width 5, brand 'D', version hidden, help '?', nav icon-only, footer centered",sidebar.py:121-130,Verified,code audit + pytest suite,PASS,,,PASS
SIDE-07,Sidebar,Footer version and help,"As a user, I want version/help hints so that I know the build and how to get help",Expanded footer shows 'v{version}' and '? help'; collapses help hint to '?',"sidebar.py:90-93,126-127",Verified,code audit + pytest suite,PASS,,,PASS
SIDE-08,Sidebar,Manual collapse toggle,"As a user, I want to force collapse/expand so that I control layout",Ctrl+B flips collapsed; watch_collapsed updates brand/version/help/chip/nav labels,"app.py:49-53,sidebar.py:118-130",Verified,tests/test_qa_fixes.py::test_sidebar_manual_collapse_survives_resize,FAIL,Manual Ctrl+B collapse was undone by the next resize >=100 width (ux),Manual override honored at widths >=100; narrow still force-collapses,PASS
NJ-01,New Job,Legal cells matrix,"As a user, I want to see allowed Source x Destination so that I choose valid config",Collapsible legal-cells table: SqlFile->all; SqlTemplate->Table only; ExistingTable->Csv only,"new_job.py:142-144,manifest.py:56-62",Verified,code audit + pytest suite,PASS,,,PASS
NJ-02,New Job,Matrix toggle,"As a user, I want to show/hide the matrix so that I save screen space",M toggles #matrix-collapsible collapsed state,"new_job.py:37,276-278",Verified,code audit + pytest suite,PASS,,,PASS
NJ-03,New Job,Source selection,"As a user, I want to pick the source so that the form matches my data",Source radio SqlFile(default)/SqlTemplate/ExistingTable; change updates visibility+validation,"new_job.py:78-81,265-268,341-383",Verified,code audit + pytest suite,PASS,,,PASS
NJ-04,New Job,Destination selection,"As a user, I want to pick the destination so that results land where I need",Destination radio Table/Csv(default)/Table+Csv; illegal destinations disabled for source,"new_job.py:84-87,345-349",Verified,code audit + pytest suite,PASS,,,PASS
NJ-05,New Job,Illegal SqlTemplate->Csv disabled,"As a user, I must not launch SqlTemplate to Csv so that monthly jobs only make tables",SqlTemplate disables Csv and Table+Csv radios; hint 'SqlTemplate supports Table only',"new_job.py:376-377,348",Verified,code audit + pytest suite,PASS,,,PASS
NJ-06,New Job,Illegal ExistingTable->Table disabled,"As a user, I must not create a table from ExistingTable so that only CSV export is offered",ExistingTable disables Table and Table+Csv radios; hint 'ExistingTable supports Csv only',"new_job.py:379-381,348",Verified,code audit + pytest suite,PASS,,,PASS
NJ-07,New Job,Auto-correct illegal destination,"As a user switching source, I want illegal dest auto-corrected so that I am never stuck","If current dest illegal for new source, first legal destination is auto-selected (deferred timer)",new_job.py:385-397,Verified,code audit + pytest suite,PASS,,,PASS
NJ-08,New Job,SQL file picker,"As a user, I want to pick a .sql file from CWD without typing so that launch is faster",SqlFile/SqlTemplate + cwd has *.sql + not prefilled: table lists File/Detected/Modified; select fills path,"new_job.py:166-225,361-363",Verified,code audit + pytest suite,PASS,,,PASS
NJ-09,New Job,SQL file default path,"As a user opening New Job, I want a sensible default path so that I launch quickly",Default #sql-file is first sorted *.sql in launch_cwd else launch_cwd/query.sql,new_job.py:246-248,Verified,code audit + pytest suite,PASS,,,PASS
NJ-10,New Job,SQL file path hint,"As a user editing the path, I want existence feedback so that I catch typos",#path-hint shows check/cross plus dim filename; updates on sql-file change,"new_job.py:399-409,273-274",Verified,code audit + pytest suite,PASS,,,PASS
NJ-11,New Job,SQL file inline validation,"As a user, I want live SQL file status so that I know the path resolves",Existing path 'check SQL file found'; missing nonempty path 'cross SQL file not found',new_job.py:294-298,Verified,code audit + pytest suite,PASS,,,PASS
NJ-12,New Job,SQL content auto-detect,"As a user, I want SqlTemplate auto-detected so that source is set correctly",Both placeholders -> detected SqlTemplate and src radio set; otherwise SqlFile,"new_job.py:435-447,sql.py:9-12",Verified,code audit + pytest suite,PASS,,,PASS
NJ-13,New Job,Existing table field,"As a user exporting an existing table, I want to name it so that export targets right data",ExistingTable shows #row-existing-table; launch needs nonempty name or schema.table fallback,"new_job.py:364,460-462,478-482",Verified,code audit + pytest suite,PASS,,,PASS
NJ-14,New Job,Schema and table fields,"As a user creating a table, I want schema/table inputs so that target is explicit",Schema(default aa_enc)/Table(default dispatch_result) shown for Table/Table+Csv or SqlTemplate,"new_job.py:103-109,354-366",Verified,code audit + pytest suite,PASS,,,PASS
NJ-15,New Job,Template date range,"As a user running a monthly template, I want start/end dates so that partitions are right",SqlTemplate shows Start/End date defaults (month bounds); passed to orchestrator as MM/DD/YYYY,"new_job.py:111-117,236-244,496-498",Verified,tests/test_qa_fixes.py::test_launch_blocks_bad_template_dates,FAIL,Invalid SqlTemplate dates raised ValueError mid-launch (strptime) (logistical),sql.validate_date_range guards _validate before _params runs,PASS
NJ-16,New Job,Email and subject,"As a user, I want notification email/subject so that completion is reported",Email defaults DISPATCH_EMAIL; Subject default 'Dispatch Job'; both always visible,new_job.py:119-129,Verified,code audit + pytest suite,PASS,,,PASS
NJ-17,New Job,Email inline validation,"As a user, I want invalid emails flagged so that notifications are addressed",Nonempty email must contain @ and . in domain; valid 'check Email' else 'cross Invalid email format',"new_job.py:299-304,322-324",Verified,tests/test_qa_fixes.py::test_launch_blocks_invalid_email,FAIL,Invalid email flagged in summary but not blocked at launch (logistical),_validate now rejects malformed email,PASS
NJ-18,New Job,Kerberos inline status,"As a user, I want Kerberos health visible so that I renew before launch",Missing -> 'cross Kerberos missing'; TTL<300 -> 'warn Kerberos TTL low'; else 'check Kerberos',"new_job.py:155-156,305-310",Verified,code audit + pytest suite,PASS,,,PASS
NJ-19,New Job,Kerberos launch gate,"As a user without valid Kerberos, I must not launch so that jobs do not fail auth",Launch disabled when ttl None or <300; validate returns missing/under-5-minutes message,"new_job.py:411-414,456-459",Verified,code audit + pytest suite,PASS,,,PASS
NJ-20,New Job,Kerberos renewal (kinit),"As a user, I want kinit from the form so that I renew tickets","K suspends TUI, runs kinit, refreshes TTL+sidebar; notify refreshed Nm or still missing",new_job.py:619-628,Verified,manual GUI (kinit) + code audit,FAIL,Successful kinit did not refresh the inline Kerberos status chips (ux),action_kinit calls _inline_validate() after refresh,PASS
NJ-21,New Job,Validation summary,"As a user, I want a launch-readiness summary so that I see blockers at a glance",#validation-summary 'Ready to launch' or 'N issue(s): {first}(+M more)',"new_job.py:331-339,313-329",Verified,tests/test_qa_fixes.py::test_validation_summary_reflects_running_cap,FAIL,"Readiness summary omitted running-cap, template completeness, and date errors (ux)","_validation_issues mirrors cap, template, date, and required-field checks",PASS
NJ-22,New Job,Illegal combination launch block,"As a user, I must not launch illegal Source/Destination so that orchestrators get valid cells",validate returns 'Illegal Source/Destination cell: {S}/{D}',"new_job.py:317-318,452-453,manifest.py:56-62",Verified,code audit + pytest suite,PASS,,,PASS
NJ-23,New Job,Running job cap,"As a user, I must not exceed concurrency so that cluster load is bounded",>=2 Running -> 'Already at the 2-Job concurrency cap; wait for one to finish' (RUNNING_CAP=2),"new_job.py:454-455,jobs.py:14,63-64",Verified,tests/test_qa_fixes.py::test_validation_summary_reflects_running_cap,FAIL,Summary said 'Ready to launch' while at the 2-job cap (ux),_validation_issues includes jobs.can_launch(),PASS
NJ-24,New Job,Malformed template SQL,"As a user, I must fix half-filled placeholders so that monthly jobs do not mis-run",Launch blocks 'SQL contains only one of {date_inicio}/{date_fim}...' when exactly one present,"new_job.py:467-468,sql.py:19-24",Verified,code audit + pytest suite,PASS,,,PASS
NJ-25,New Job,Incomplete SqlTemplate,"As a user selecting SqlTemplate, I must include both placeholders so that substitution works",Launch blocks 'SqlTemplate requires both {date_inicio} and {date_fim}' when either missing,"new_job.py:469-470,sql.py:15-16",Verified,code audit + pytest suite,PASS,,,PASS
NJ-26,New Job,Unreadable SQL file,"As a user, I must provide a readable SQL file so that the job can start",Launch blocks 'SQL file is unreadable'; preview shows 'Cannot read SQL file: {path}',"new_job.py:416-422,464-466,549-550",Verified,code audit + pytest suite,PASS,,,PASS
NJ-27,New Job,Existing table required,"As a user with ExistingTable, I must name the table so that export has a source",Launch blocks 'Existing table name is required' when existing-table blank (schema.table fallback otherwise),new_job.py:460-462,Verified,code audit + pytest suite,PASS,,,PASS
NJ-28,New Job,Preview action,"As a user, I want to preview SQL before launch so that I verify the query",P or 'Preview SQL [P]' opens PreviewScreen without full validate,"new_job.py:36,507-535",Verified,tests/test_qa_fixes.py::test_preview_table_destination_is_wrapped,FAIL,Preview destination handling did not distinguish Csv from Table (logistical),action_preview now keys wrapping on destination type,PASS
NJ-29,New Job,Preview blocked for ExistingTable,"As a user with ExistingTable, I understand preview does not apply so that I am not shown empty SQL",Preview shows 'Preview is not available for ExistingTable source.' and does not push screen,new_job.py:511-513,Verified,code audit + pytest suite,PASS,,,PASS
NJ-30,New Job,Preview SqlTemplate per-month,"As a user, I want monthly template preview so that I see resolved SQL","SqlTemplate preview: comment headers per month, placeholders replaced, schema.table_temp_YYYYMM","new_job.py:517-522,sql.py:77-95",Verified,tests/test_qa_fixes.py::test_preview_bad_template_dates_does_not_crash,FAIL,Invalid SqlTemplate dates crashed the preview action (logistical),action_preview validates dates and shows a message instead of raising,PASS
NJ-31,New Job,Preview SqlFile table wrap,"As a user, I want to see DROP/CREATE wrapper so that table jobs match DDL",Non-DDL SqlFile preview wraps DROP/CREATE PARQUET LOCATION ... AS; self-contained DDL verbatim,"new_job.py:523-528,sql.py:29-63",Verified,tests/test_qa_fixes.py::test_preview_csv_destination_not_wrapped,FAIL,Preview wrapped SqlFile->Csv in DROP/CREATE TABLE DDL though Csv runs the raw SELECT (logistical),"Only wrap preview for Table/Table+Csv, matching manifest._effective_job_sql",PASS
NJ-32,New Job,Edit SQL in $EDITOR,"As a user, I want to edit the SQL in $EDITOR so that I fix queries in place","E suspends TUI, runs $EDITOR (default vi) on path, clears cache, re-detects source","new_job.py:33,612-617",Verified,code audit + pytest suite,PASS,,,PASS
NJ-33,New Job,Launch confirmation,"As a user, I want to confirm before launch so that accidental launches are prevented","L/Launch validates then pushes danger ConfirmScreen with summary; Y/Enter launches, N/Esc aborts","new_job.py:35,546-610,confirm.py:14-19",Verified,code audit + pytest suite,PASS,,,PASS
NJ-34,New Job,Successful launch feedback,"As a user, I want feedback when a job starts so that I know it was queued","After confirm: manifest created, runner launched, notify+warning 'Launched Job {id}'; defaults saved","new_job.py:563-574,727-735",Verified,code audit + pytest suite,PASS,,,PASS
NJ-35,New Job,Saved form defaults,"As a returning user, I want prior schema/email/subject restored so that repeats are faster",On mount read_form_defaults fills schema/email/subject if present,new_job.py:711-725,Verified,code audit + pytest suite,PASS,,,PASS
NJ-36,New Job,Prefill mode,"As a user re-running a job, I want the form prefilled so that I tweak and relaunch",prefill dict sets inputs/radios after refresh; matrix collapsed; file picker hidden,"new_job.py:630-678,361",Verified,code audit + pytest suite,PASS,,,PASS
NJ-37,New Job,Navigation back,"As a user, I want to leave New Job without launching so that I return to prior screen",Escape or B pops the screen,new_job.py:31-32,Verified,code audit + pytest suite,PASS,,,PASS
PREV-01,SQL Preview,Syntax display,"As a user, I want highlighted SQL so that I read the query easily","PreviewScreen writes sql to #preview-body RichLog with SQL lexer, line numbers, wrap, ansi_dark","preview.py:14-24,82-84",Verified,code audit + pytest suite,PASS,,,PASS
PREV-02,SQL Preview,Metadata header,"As a user, I want preview context so that I know source/destination/target","Header breadcrumb 'New Job / SQL Preview', Target schema.table, and 'source -> dest'",preview.py:60-71,Verified,code audit + pytest suite,PASS,,,PASS
PREV-03,SQL Preview,Line count status,"As a user, I want preview size context so that I know how much to review",#preview-status shows '{N} lines - review before launching',preview.py:85-88,Verified,code audit + pytest suite,PASS,,,PASS
PREV-04,SQL Preview,Copy SQL,"As a user, I want to copy the preview so that I paste elsewhere",Y or 'Copy SQL [Y]' copies body; notify 'SQL copied to clipboard' or 'Copy unavailable...',"preview.py:32,93-98",Verified,code audit + pytest suite,PASS,,,PASS
PREV-05,SQL Preview,Back navigation,"As a user, I want to return to New Job so that I launch or edit","Esc, B, Enter, or Back pops the screen","preview.py:29-31,90-91,100-102",Verified,code audit + pytest suite,PASS,,,PASS
CONF-01,Confirm Dialog,Basic confirm,"As a user, I want a simple yes/no modal so that I approve actions","Y/Enter confirms (True), N/Esc cancels (False); initial focus on confirm button","confirm.py:14-19,67-71,83-94",Verified,code audit + pytest suite,PASS,,,PASS
CONF-02,Confirm Dialog,Danger styling,"As a user, I want dangerous confirms distinct so that I pause","danger=True: bold red title, error confirm button (used for Launch Job)","confirm.py:40-47,63-64",Verified,code audit + pytest suite,PASS,,,PASS
CONF-03,Confirm Dialog,Custom labels,"As a user, I want action-specific buttons so that intent is clear",Launch confirm uses confirm 'Launch' and cancel 'Review',"confirm.py:27-28,new_job.py:605-606",Verified,code audit + pytest suite,PASS,,,PASS
CONF-04,Confirm Dialog,Typed confirmation,"As a user, I want to type a resource name for high-risk actions so that mis-clicks cannot confirm",required_confirmation_text shows Input; confirm only on exact match; mismatch updates red help,"confirm.py:49-53,67-69,84-90",Verified,code audit + pytest suite,PASS,,,PASS
CONF-05,Confirm Dialog,Input submit confirm,"As a user confirming via keyboard, I want Enter in the field to submit so that I avoid clicking",Input.Submitted on #confirm-input triggers action_confirm,confirm.py:79-81,Verified,code audit + pytest suite,PASS,,,PASS
SQL-01,SQL Parsing,detect_source,"As a user, I want consistent source detection so that UI matches file content",Both placeholders -> SqlTemplate else SqlFile,sql.py:9-12,Verified,code audit + pytest suite,PASS,,,PASS
SQL-02,SQL Parsing,malformed template detection,"As a user, I want single-placeholder files flagged so that typos are caught",is_malformed_template True when exactly one placeholder present,sql.py:19-24,Verified,code audit + pytest suite,PASS,,,PASS
SQL-03,SQL Parsing,self-contained DDL,"As a user with CREATE/INSERT SQL, I want no double-wrapping so that DDL runs as written",is_self_contained_ddl True when first keyword is create/drop/insert/alter/truncate/merge; WITH=SELECT,sql.py:26-50,Verified,code audit + pytest suite,PASS,,,PASS
SQL-04,SQL Parsing,month_range,"As a user previewing templates, I want one block per month so that monthly jobs are clear",month_range iterates first-of-month from start through end inclusive,sql.py:66-74,Verified,code audit + pytest suite,PASS,,,PASS
JD-01,Job Detail,Screen title,"As a user, I want to see which job I view so that I orient myself",Title breadcrumb 'Overview /' plus bold 'Job {full id}',job_detail.py:84-86,Verified,code audit + pytest suite,PASS,,,PASS
JD-02,Job Detail,Summary placeholders,"As a user opening before data loads, I want safe defaults so that no garbage shows",State/Source/Destination/Started/Elapsed/CSV initially show '--',job_detail.py:91-98,Verified,code audit + pytest suite,PASS,,,PASS
JD-03,Job Detail,Manifest refresh,"As a user, I want metadata current so that I see live status",Polls manifest and log every 1.0s via set_interval,job_detail.py:127,Verified,code audit + pytest suite,PASS,,,PASS
JD-04,Job Detail,Manifest mtime cache,"As a user on slow SSH, I want efficient updates so that unchanged manifests are not reparsed",Unchanged mtime reuses cached manifest instead of reloading JSON,job_detail.py:138-146,Verified,code audit + pytest suite,PASS,,,PASS
JD-05,Job Detail,Unreadable manifest,"As a user viewing a corrupt job, I want graceful failure so that I am not crashed","If manifest stat/load fails, snapshot None and UI not updated that tick","job_detail.py:134-144,185-187",Verified,code audit + pytest suite,PASS,,,PASS
JD-06,Job Detail,Source display,"As a user, I want to see job origin so that I verify inputs","Source shows truncated table_name, else sql path, else type, else '--'",job_detail.py:201-204,Verified,code audit + pytest suite,PASS,,,PASS
JD-07,Job Detail,Destination display,"As a user, I want to see the target so that I know where output goes",Destination '{type} -> {schema.table}' when both exist else type or '--',job_detail.py:205-211,Verified,code audit + pytest suite,PASS,,,PASS
